,dt,flight,alt_baro,alt_geom,gs,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,mlat,tisb,messages,seen,rssi
0,2022-10-18 00:10:07.474954,ACA56   ,33000,32125,537.6,63.5,0,2260,none,A5,1012.8,32992,78.8,,44.901123,-76.275196,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],176,0.0,-20.2
1,2022-10-18 00:10:08.503250,ACA56   ,33000,32125,537.1,63.6,0,2260,none,A5,1012.8,32992,78.8,,44.901123,-76.275196,8,186,1.4,2,1,9,1,3,perhour,2,2,[],[],181,0.4,-21.2
2,2022-10-18 00:10:10.567522,ACA56   ,33000,32125,537.1,63.6,0,2260,none,A5,1012.8,32992,78.8,,44.901123,-76.275196,8,186,3.5,2,1,9,1,3,perhour,2,2,[],[],184,0.8,-23.7
3,2022-10-18 00:10:12.613339,ACA56   ,32975,32125,535.8,64.3,-64,2260,none,A5,1012.8,32992,78.8,,44.906756,-76.25885,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],190,0.1,-22.8
4,2022-10-18 00:10:13.631367,ACA56   ,33000,32125,536.3,64.5,-64,2260,none,A5,1012.8,32992,78.8,,44.907221,-76.257577,8,186,0.9,2,1,9,1,3,perhour,2,2,[],[],200,0.1,-22.4
5,2022-10-18 00:10:14.655109,ACA56   ,33000,32125,536.3,64.5,-64,2260,none,A5,1012.8,32992,78.8,,44.907221,-76.257577,8,186,2.0,2,1,9,1,3,perhour,2,2,[],[],229,0.0,-21.5
6,2022-10-18 00:10:15.678522,ACA56   ,33000,32125,534.6,64.9,-64,2260,none,A5,1012.8,32992,78.8,,44.910387,-76.248132,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],260,0.0,-21.2
7,2022-10-18 00:10:16.702597,ACA56   ,32975,32100,535.1,65.0,-64,2260,none,A5,1012.8,32992,78.8,,44.911285,-76.245313,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],268,0.2,-21.1
8,2022-10-18 00:10:17.746177,ACA56   ,32975,32100,534.2,65.2,0,2260,none,A5,1012.8,32992,78.8,,44.912249,-76.242505,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],279,0.3,-20.6
9,2022-10-18 00:10:18.773258,ACA56   ,33000,32125,534.7,65.4,-64,2260,none,A5,1012.8,32992,78.8,,44.913345,-76.239035,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],330,0.0,-20.7
10,2022-10-18 00:10:19.797506,ACA56   ,33000,32125,533.9,65.5,0,2260,none,A5,1012.8,32992,78.8,,44.914297,-76.236141,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],406,0.0,-19.8
11,2022-10-18 00:10:20.821207,ACA56   ,33000,32125,533.5,65.6,0,2260,none,A5,1012.8,32992,78.8,,44.915275,-76.232992,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],424,0.3,-20.4
12,2022-10-18 00:10:21.862086,ACA56   ,32975,32100,533.6,65.9,0,2260,none,A5,1012.8,32992,78.8,,44.916299,-76.229844,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],435,0.1,-20.2
13,2022-10-18 00:10:22.887314,ACA56   ,32975,32100,532.3,66.2,0,2260,none,A5,1012.8,32992,78.8,,44.917463,-76.226025,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],441,0.2,-17.3
14,2022-10-18 00:10:23.907300,ACA56   ,33000,32125,532.3,66.2,0,2260,none,A5,1012.8,32992,78.8,,44.918487,-76.222877,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],481,0.1,-15.9
15,2022-10-18 00:10:24.949556,ACA56   ,32975,32100,532.1,66.5,0,2260,none,A5,1012.8,32992,78.8,,44.919571,-76.219352,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],540,0.1,-16.7
16,2022-10-18 00:10:25.985341,ACA56   ,32975,32100,532.1,66.5,0,2260,none,A5,1012.8,32992,78.8,,44.920442,-76.216513,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],546,0.1,-17.5
17,2022-10-18 00:10:27.005992,ACA56   ,32975,32100,532.1,66.5,0,2260,none,A5,1012.8,32992,78.8,,44.92131,-76.213662,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],554,0.1,-20.3
18,2022-10-18 00:10:28.033691,ACA56   ,32975,32100,531.8,66.9,0,2260,none,A5,1012.8,32992,78.8,,44.922351,-76.210149,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],563,0.1,-19.9
19,2022-10-18 00:10:29.072615,ACA56   ,32975,32100,530.6,67.2,64,2260,none,A5,1012.8,32992,78.8,,44.923416,-76.206665,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],574,0.4,-19.7
20,2022-10-18 00:10:30.098473,ACA56   ,32975,32100,531.2,67.3,64,2260,none,A5,1012.8,32992,78.8,,44.924632,-76.202512,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],628,0.1,-19.2
21,2022-10-18 00:10:31.126936,ACA56   ,32975,32125,530.8,67.4,64,2260,none,A5,1012.8,32992,78.8,,44.925659,-76.199014,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],638,0.1,-21.0
22,2022-10-18 00:10:32.164544,ACA56   ,32975,32125,530.0,67.6,64,2260,none,A5,1012.8,32992,78.8,,44.926168,-76.19742,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],643,0.6,-20.8
23,2022-10-18 00:10:33.191352,ACA56   ,32975,32125,530.5,67.7,64,2260,none,A5,1012.8,32992,78.8,,44.927611,-76.192262,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],657,0.1,-20.0
24,2022-10-18 00:10:34.218519,ACA56   ,32975,32125,529.8,67.9,128,2260,none,A5,1012.8,32992,78.8,,44.928452,-76.189401,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],666,0.1,-17.1
25,2022-10-18 00:10:35.255965,ACA56   ,32975,32125,529.4,68.0,64,2260,none,A5,1012.8,32992,78.8,,44.929001,-76.187504,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],706,0.0,-19.5
26,2022-10-18 00:10:36.305905,ACA56   ,32975,32125,529.6,68.3,64,2260,none,A5,1012.8,32992,78.8,,44.929001,-76.187504,8,186,1.6,2,1,9,1,3,perhour,2,2,[],[],711,0.1,-21.4
27,2022-10-18 00:10:37.336753,ACA56   ,32975,32125,529.2,68.4,64,2260,none,A5,1012.8,32992,78.8,,44.930916,-76.180807,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],720,0.1,-21.8
28,2022-10-18 00:10:38.369365,ACA56   ,32975,32125,528.5,68.6,64,2260,none,A5,1012.8,32992,78.8,,44.931801,-76.177591,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],731,0.2,-19.9
29,2022-10-18 00:10:39.396682,ACA56   ,33000,32100,529.1,68.7,64,2260,none,A5,1012.8,32992,78.8,,44.933198,-76.172433,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],742,0.0,-17.2
30,2022-10-18 00:10:40.421436,ACA56   ,33000,32125,528.3,68.9,64,2260,none,A5,1012.8,32992,78.8,,44.934082,-76.169218,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],777,0.1,-16.2
31,2022-10-18 00:10:41.440346,ACA56   ,33000,32150,528.0,69.0,64,2260,none,A5,1012.8,32992,78.8,,44.934967,-76.166002,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],785,0.1,-17.8
32,2022-10-18 00:10:42.462203,ACA56   ,33000,32150,528.6,69.2,0,2260,none,A5,1012.8,32992,78.8,,44.935851,-76.162787,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],797,0.0,-19.2
