,dt,flight,alt_baro,alt_geom,gs,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,mlat,tisb,messages,seen,rssi
0,2022-10-17 00:00:00.954473,UAL5    ,38975,38650,528.4,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.192459,-76.272775,8,186,1.7,2,1,9,1,3,perhour,2,2,[],[],228,0.1,-20.0
1,2022-10-17 00:00:01.977741,UAL5    ,39000,38675,528.4,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.196625,-76.265259,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],256,0.0,-19.5
2,2022-10-17 00:00:03.008569,UAL5    ,39000,38675,529.2,52.5,64,2416,none,A5,1012.8,39008,63.3,,44.197998,-76.262802,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],263,0.1,-19.3
3,2022-10-17 00:00:04.027560,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.1996,-76.259896,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],268,0.0,-19.5
4,2022-10-17 00:00:05.056433,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.1996,-76.259896,8,186,1.1,2,1,9,1,3,perhour,2,2,[],[],274,0.1,-20.5
5,2022-10-17 00:00:06.076477,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.202746,-76.254228,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],282,0.1,-21.5
6,2022-10-17 00:00:07.097808,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.204086,-76.251787,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],305,0.2,-22.1
7,2022-10-17 00:00:08.125896,UAL5    ,38975,38650,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.205726,-76.248802,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],309,0.2,-21.1
8,2022-10-17 00:00:09.149177,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.207215,-76.246122,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],312,0.2,-20.3
9,2022-10-17 00:00:10.183040,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.208705,-76.243442,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],323,0.2,-19.4
10,2022-10-17 00:00:11.204040,UAL5    ,39000,38675,529.2,52.5,-64,2416,none,A5,1012.8,39008,63.3,,44.210195,-76.240763,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],330,0.3,-19.6
11,2022-10-17 00:00:12.221548,UAL5    ,39000,38675,529.2,52.5,-64,2416,none,A5,1012.8,39008,63.3,,44.211684,-76.238016,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],354,0.2,-19.2
12,2022-10-17 00:00:13.249408,UAL5    ,39000,38675,529.2,52.5,-64,2416,none,A5,1012.8,39008,63.3,,44.213013,-76.235635,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],359,0.1,-19.7
13,2022-10-17 00:00:14.271803,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.214478,-76.232888,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],366,0.4,-19.1
14,2022-10-17 00:00:15.291764,UAL5    ,38975,38650,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.215828,-76.230513,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],375,0.2,-19.9
15,2022-10-17 00:00:16.310763,UAL5    ,38975,38650,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.215828,-76.230513,8,186,1.6,2,1,9,1,3,perhour,2,2,[],[],379,0.7,-20.1
16,2022-10-17 00:00:17.330395,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.218369,-76.225891,8,186,0.9,2,1,9,1,3,perhour,2,2,[],[],393,0.8,-22.3
17,2022-10-17 00:00:18.351562,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.218369,-76.225891,8,186,1.9,2,1,9,1,3,perhour,2,2,[],[],395,0.7,-22.8
18,2022-10-17 00:00:23.480285,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.218369,-76.225891,8,186,6.1,2,1,9,1,3,perhour,2,2,[],[],397,0.4,-23.3
19,2022-10-17 00:00:24.501570,UAL5    ,39000,38675,529.2,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.227419,-76.209479,8,186,1.0,2,1,9,1,3,perhour,2,2,[],[],402,0.6,-24.5
20,2022-10-17 00:00:26.571347,UAL5    ,39000,38675,528.6,52.6,-64,2416,none,A5,1012.8,39008,63.3,,44.227419,-76.209479,8,186,3.1,2,1,9,1,3,perhour,2,2,[],[],408,0.0,-23.7
21,2022-10-17 00:00:27.592301,UAL5    ,39000,38675,528.6,52.6,-64,2416,none,A5,1012.8,39008,63.3,,44.232925,-76.199472,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],419,0.1,-24.2
22,2022-10-17 00:00:42.999722,UAL5    ,39000,38675,528.6,52.6,-64,2416,none,A5,1012.8,39008,63.3,,44.232925,-76.199472,8,186,16.0,2,1,9,1,3,perhour,2,2,[],[],420,0.0,-24.4
23,2022-10-17 00:00:44.041492,UAL5    ,39000,38675,528.6,52.6,-64,2416,none,A5,1012.8,39008,63.3,,44.232925,-76.199472,8,186,17.1,2,1,9,1,3,perhour,2,2,[],[],422,0.1,-24.5
24,2022-10-17 00:00:50.239466,UAL5    ,39000,38675,528.6,52.6,-64,2416,none,A5,1012.8,39008,63.3,,44.232925,-76.199472,8,186,23.3,2,1,9,1,3,perhour,2,2,[],[],423,0.1,-24.6
25,2022-10-17 00:00:51.262832,UAL5    ,39000,38675,527.2,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.232925,-76.199472,8,186,24.3,2,1,9,1,3,perhour,2,2,[],[],424,0.9,-24.6
26,2022-10-17 00:00:52.305217,UAL5    ,38975,38650,527.2,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.269089,-76.133684,8,186,1.0,2,1,9,1,3,perhour,2,2,[],[],434,0.0,-22.6
27,2022-10-17 00:00:53.330421,UAL5    ,38975,38650,527.2,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.270554,-76.131003,8,186,1.0,2,1,9,1,3,perhour,2,2,[],[],456,0.2,-21.7
28,2022-10-17 00:00:54.365928,UAL5    ,38975,38650,527.2,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.272064,-76.128322,8,186,1.0,2,1,9,1,3,perhour,2,2,[],[],460,0.4,-21.6
29,2022-10-17 00:00:56.413119,UAL5    ,38975,38650,527.8,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.276505,-76.120213,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],464,0.1,-22.8
30,2022-10-17 00:00:57.437649,UAL5    ,38975,38650,527.8,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.278114,-76.117234,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],482,0.0,-23.9
31,2022-10-17 00:00:58.462223,UAL5    ,38975,38650,527.8,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.279325,-76.11509,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],489,0.2,-23.7
32,2022-10-17 00:00:59.487438,UAL5    ,38975,38650,527.8,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.280814,-76.11241,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],493,0.2,-22.5
33,2022-10-17 00:01:00.515626,UAL5    ,38975,38650,527.8,52.5,0,2416,none,A5,1012.8,39008,63.3,,44.282258,-76.109731,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],498,0.1,-20.8
34,2022-10-17 00:01:01.536364,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.283747,-76.106984,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],505,0.1,-20.7
35,2022-10-17 00:01:02.562124,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.285237,-76.104305,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],531,0.2,-22.4
36,2022-10-17 00:01:03.589114,UAL5    ,39000,38675,528.6,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.286575,-76.101903,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],545,0.5,-23.0
37,2022-10-17 00:01:04.615870,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.28804,-76.099156,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],547,0.6,-23.1
38,2022-10-17 00:01:05.633181,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.289551,-76.096475,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],554,0.3,-22.0
39,2022-10-17 00:01:06.663985,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.291196,-76.093519,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],559,0.5,-21.5
40,2022-10-17 00:01:07.679696,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.292801,-76.090524,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],585,0.4,-20.5
41,2022-10-17 00:01:08.702848,UAL5    ,38975,38650,528.6,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.292801,-76.090524,8,186,1.5,2,1,9,1,3,perhour,2,2,[],[],596,0.6,-20.7
42,2022-10-17 00:01:09.725683,UAL5    ,38975,38650,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.295618,-76.085413,8,186,0.7,2,1,9,1,3,perhour,2,2,[],[],601,0.1,-21.2
43,2022-10-17 00:01:10.746026,UAL5    ,39000,38675,528.6,52.6,64,2416,none,A5,1012.8,39008,63.3,,44.297108,-76.082667,8,186,0.8,2,1,9,1,3,perhour,2,2,[],[],607,0.4,-21.7
44,2022-10-17 00:01:11.767034,UAL5    ,38975,38650,529.4,52.7,64,2416,none,A5,1012.8,39008,63.3,,44.298597,-76.079987,8,186,0.8,2,1,9,1,3,perhour,2,2,[],[],616,0.4,-20.9
45,2022-10-17 00:01:12.815751,UAL5    ,39000,38650,529.4,52.7,64,2416,none,A5,1012.8,39008,63.3,,44.299942,-76.077576,8,186,0.9,2,1,9,1,3,perhour,2,2,[],[],622,0.6,-22.8
46,2022-10-17 00:01:13.835154,UAL5    ,39000,38675,530.0,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.301407,-76.074829,8,186,0.9,2,1,9,1,3,perhour,2,2,[],[],630,0.2,-23.6
47,2022-10-17 00:01:14.854528,UAL5    ,39000,38675,530.0,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.303066,-76.071882,8,186,0.9,2,1,9,1,3,perhour,2,2,[],[],635,0.1,-22.8
48,2022-10-17 00:01:15.911809,UAL5    ,39000,38675,530.0,52.6,0,2416,none,A5,1012.8,39008,63.3,,44.303066,-76.071882,8,186,2.0,2,1,9,1,3,perhour,2,2,[],[],639,0.6,-22.2
